instance	n	best_known_k	our_k	deficit	deficit_pct	official_score	wtime_s
heuristic126	4368	2499	2889	390	15.6	0.6262	19.33
heuristic127	1638	1027	1175	148	14.4	0.5742	19.34
heuristic128	1971	1192	1393	201	16.9	0.5505	19.33
heuristic129	8405	6209	7015	806	13.0	0.4006	20.00
heuristic130	2691	1799	2113	314	17.5	0.4199	19.45
heuristic131	1608	951	1095	144	15.1	0.6097	19.33
heuristic132	1521	921	1070	149	16.2	0.5650	19.33
heuristic133	1672	999	1164	165	16.5	0.5698	19.31
heuristic134	3996	2404	2818	414	17.2	0.5475	19.35
heuristic135	1776	1476	1646	170	11.5	0.1878	19.34
heuristic136	1644	1009	1167	158	15.7	0.5643	19.34
heuristic137	2096	1442	1673	231	16.0	0.4183	19.33
heuristic138	8124	7063	7658	595	8.4	0.1929	20.00
heuristic139	9846	6668	7726	1058	15.9	0.4450	19.67
heuristic140	2877	1881	2187	306	16.3	0.4799	19.37
heuristic141	1791	1091	1264	173	15.9	0.5668	19.32
heuristic142	1078	742	861	119	16.0	0.4171	19.30
heuristic143	1492	893	1019	126	14.1	0.6235	19.32
heuristic144	1855	1166	1364	198	17.0	0.5078	19.36
heuristic145	2864	2151	2464	313	14.6	0.3147	19.46
heuristic146	9801	6513	7584	1071	16.4	0.4546	19.99
heuristic147	2124	1351	1570	219	16.2	0.5136	19.36
heuristic148	1720	1043	1218	175	16.8	0.5498	19.34
heuristic149	2144	1694	1937	243	14.3	0.2116	19.34
